hex_id,D1,D2,D3,D4,D5,D6
1,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
2,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
3,SaClLo,Cl,Cl,Cl,Cl,Cl
4,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
5,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
6,SaClLo,Cl,Cl,Cl,Cl,Cl
7,Cl,Cl,Cl,Cl,Cl,Cl
8,SaClLo,ClLo,ClLo,ClLo,ClLo,ClLo
9,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
10,SaClLo,Cl,Cl,Cl,Cl,Cl
11,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
12,Cl,Cl,Cl,Cl,Cl,Cl
13,Cl,Cl,Cl,Cl,Cl,Cl
14,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
15,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
16,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
17,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
18,Cl,Cl,Cl,Cl,Cl,Cl
19,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
20,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
21,SaClLo,Cl,Cl,Cl,Cl,Cl
22,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
23,Cl,Cl,Cl,Cl,Cl,Cl
24,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
25,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
26,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
27,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
28,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
29,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
30,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
31,Cl,Cl,Cl,Cl,Cl,Cl
32,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
33,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
34,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
35,SaClLo,Cl,Cl,Cl,Cl,Cl
36,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
37,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
38,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
39,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
40,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
41,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
42,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
43,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
44,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
45,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
46,Cl,Cl,Cl,Cl,Cl,Cl
47,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
48,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
49,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
50,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
51,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
52,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
53,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
54,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
55,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
56,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
57,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
58,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
59,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
60,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
61,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
62,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
63,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
64,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
65,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
66,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
67,SaClLo,Cl,Cl,Cl,Cl,Cl
68,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
69,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
70,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
71,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
72,SaClLo,Cl,Cl,Cl,Cl,Cl
73,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
74,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
75,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
76,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
77,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
78,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
79,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
80,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
81,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
82,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
83,SaClLo,Cl,Cl,Cl,Cl,Cl
84,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
85,SaClLo,Cl,Cl,Cl,Cl,Cl
86,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
87,Lo,Lo,Lo,Lo,SaLo,SaLo
88,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
89,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
90,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
91,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
92,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
93,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
94,SaClLo,Cl,Cl,Cl,Cl,Cl
95,SaClLo,Cl,Cl,Cl,Cl,Cl
96,SaClLo,Cl,Cl,Cl,Cl,Cl
97,SaClLo,Cl,Cl,Cl,Cl,Cl
98,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
99,SaClLo,Cl,Cl,Cl,Cl,Cl
100,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
101,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
102,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
103,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
104,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
105,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
106,SaClLo,Cl,Cl,Cl,Cl,Cl
107,SaClLo,Cl,Cl,Cl,Cl,Cl
108,SaClLo,Cl,Cl,Cl,Cl,Cl
109,SaClLo,Cl,Cl,Cl,Cl,Cl
110,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
111,SaClLo,Cl,Cl,Cl,Cl,Cl
112,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
113,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
114,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
115,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
116,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
117,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
118,SaClLo,Cl,Cl,Cl,Cl,Cl
119,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
120,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
121,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
122,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
123,SaLo,SaLo,Cl,SaLo,SaLo,SaLo
124,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
125,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
126,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
127,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
128,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
129,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
130,SaClLo,Cl,Cl,Cl,Cl,Cl
131,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
132,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
133,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
134,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
135,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
136,SaLo,SaLo,Cl,SaLo,SaLo,SaLo
137,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
138,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
139,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
140,Sa,Sa,Sa,LoSa,LoSa,LoSa
141,Sa,Sa,Sa,LoSa,LoSa,LoSa
142,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
143,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
144,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
145,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
146,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
147,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
148,SaClLo,Cl,Cl,Cl,Cl,Cl
149,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
150,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
151,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
152,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
153,Sa,Sa,Sa,LoSa,LoSa,LoSa
154,Sa,Sa,Sa,LoSa,LoSa,LoSa
155,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
156,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
157,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
158,Cl,Cl,Cl,Cl,Cl,Cl
159,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
160,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
161,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
162,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
163,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
164,Sa,Sa,Sa,LoSa,LoSa,LoSa
165,Sa,Sa,Sa,LoSa,LoSa,LoSa
166,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
167,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
168,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
169,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
170,Cl,Cl,Cl,Cl,Cl,Cl
171,Cl,Cl,Cl,Cl,Cl,Cl
172,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
173,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
174,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
175,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
176,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
177,Cl,Cl,Cl,Cl,Cl,Cl
178,Sa,Sa,Sa,LoSa,LoSa,LoSa
179,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
180,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
181,SaClLo,SaLo,SaLo,SaLo,SaLo,SaLo
182,Cl,Cl,Cl,Cl,Cl,Cl
183,Cl,Cl,Cl,Cl,Cl,Cl
184,Cl,Cl,Cl,Cl,Cl,Cl
185,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
186,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
187,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
188,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
189,Cl,Cl,Cl,Cl,Cl,Cl
190,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
191,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
192,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
193,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
194,Cl,Cl,Cl,Cl,Cl,Cl
195,Cl,Cl,Cl,Cl,Cl,Cl
196,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
197,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
198,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
199,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
200,Cl,Cl,Cl,Cl,Cl,Cl
201,Cl,Cl,Cl,Cl,Cl,Cl
202,Cl,Cl,Cl,Cl,Cl,Cl
203,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
204,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
205,Cl,Cl,Cl,Cl,Cl,Cl
206,Cl,Cl,Cl,Cl,Cl,Cl
207,Cl,Cl,Cl,Cl,Cl,Cl
208,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
209,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
210,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
211,Cl,Cl,Cl,Cl,Cl,Cl
212,Cl,Cl,Cl,Cl,Cl,Cl
213,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
214,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
215,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
216,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
217,Cl,Cl,Cl,Cl,Cl,Cl
218,Cl,Cl,Cl,Cl,Cl,Cl
219,Cl,Cl,Cl,Cl,Cl,Cl
220,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
221,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
222,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
223,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
224,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
225,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
226,SaClLo,SaClLo,ClLo,ClLo,ClLo,Cl
227,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
228,Cl,Cl,Cl,Cl,Cl,Cl
229,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
230,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
231,Cl,Cl,Cl,Cl,Cl,Cl
232,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
233,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
234,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
235,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
236,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
237,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
238,Cl,Cl,Cl,Cl,Cl,Cl
239,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
240,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
241,Cl,Cl,Cl,Cl,Cl,Cl
242,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
243,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
244,Cl,Cl,Cl,Cl,Cl,Cl
245,Cl,Cl,Cl,Cl,Cl,Cl
246,SaLo,SaClLo,SaClLo,SaCl,ClLo,ClLo
247,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
248,SaClLo,SaClLo,SaClLo,SaClLo,SaClLo,SaClLo
249,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
250,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
251,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
252,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
253,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
254,Cl,Cl,Cl,Cl,Cl,Cl
255,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
256,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
257,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
258,Cl,Cl,Cl,Cl,Cl,Cl
259,SaLo,SaClLo,SaClLo,SaCl,ClLo,ClLo
260,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
261,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
262,Cl,Cl,Cl,Cl,Cl,Cl
263,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
264,Cl,Cl,Cl,Cl,Cl,Cl
265,Cl,Cl,Cl,Cl,Cl,Cl
266,Cl,Cl,Cl,Cl,Cl,Cl
267,Cl,Cl,Cl,Cl,Cl,Cl
268,Cl,Cl,Cl,Cl,Cl,Cl
269,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
270,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
271,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
272,SaLo,Cl,SaClLo,Cl,Cl,Cl
273,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
274,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
275,SaLo,SaLo,SaClLo,SaLo,SaLo,SaLo
276,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
277,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
278,Cl,Cl,Cl,Cl,Cl,Cl
279,Cl,Cl,Cl,Cl,Cl,Cl
280,Cl,Cl,Cl,Cl,Cl,Cl
281,Cl,Cl,Cl,Cl,Cl,Cl
282,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
283,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
284,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
285,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
286,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
287,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
288,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
289,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
290,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
291,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
292,SaClLo,Cl,Cl,Cl,Cl,Cl
293,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
294,SaLo,SaClLo,SaClLo,SaCl,ClLo,ClLo
295,Cl,Cl,Cl,Cl,Cl,Cl
296,Cl,Cl,Cl,Cl,Cl,Cl
297,Cl,Cl,Cl,Cl,Cl,Cl
298,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
299,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
300,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
301,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
302,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
303,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
304,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
305,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
306,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
307,SaClLo,Cl,Cl,Cl,Cl,Cl
308,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
309,SaLo,SaClLo,SaClLo,SaCl,ClLo,ClLo
310,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
311,Cl,Cl,Cl,Cl,Cl,Cl
312,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
313,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
314,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
315,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
316,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
317,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
318,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
319,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
320,Sa,Sa,Sa,LoSa,LoSa,LoSa
321,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
322,SaLo,SaClLo,SaClLo,SaCl,ClLo,ClLo
323,SaLo,SaClLo,SaClLo,SaCl,ClLo,ClLo
324,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
325,Cl,Cl,Cl,Cl,Cl,Cl
326,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
327,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
328,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
329,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
330,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
331,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
332,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
333,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
